344	19	148
194	19	146
245	19	146
326	19	146
182	19	148
300	19	149
371	19	147
227	19	146
348	19	147
255	19	149
284	19	146
358	19	148
354	19	146
397	19	148
247	19	146
379	19	148
352	19	147
220	19	146
246	19	148
366	19	149
205	19	146
335	19	148
180	19	146
187	19	146
407	19	147
374	19	148
333	19	148
293	19	148
405	19	147
321	19	148
181	19	148
266	19	148
373	19	148
364	19	148
413	19	146
367	19	146
270	19	149
268	19	146
317	19	147
329	19	148
341	19	148
316	19	146
209	19	146
365	19	146
309	19	147
217	19	146
399	19	148
196	19	146
400	19	147
355	19	148
234	19	146
264	19	148
204	19	146
289	19	149
388	19	148
202	19	146
260	19	148
287	19	147
386	19	148
239	19	147
359	19	149
203	19	146
285	19	146
412	19	147
345	19	146
363	19	148
207	19	146
322	19	148
219	19	146
212	19	146
349	19	148
267	19	146
218	19	146
361	19	146
408	19	148
214	19	146
347	19	146
356	19	149
336	19	148
231	19	146
250	19	146
183	19	147
271	19	146
313	19	148
273	19	147
406	19	148
242	19	148
251	19	147
375	19	146
278	19	146
380	19	148
193	19	146
184	19	147
381	19	146
272	19	146
383	19	147
401	19	146
254	19	149
188	19	146
191	19	146
385	19	148
339	19	146
192	19	146
346	19	148
384	19	149
200	19	146
258	19	148
404	19	148
281	19	148
308	19	147
199	19	146
291	19	148
292	19	148
372	19	147
257	19	148
198	19	146
409	19	148
369	19	147
280	19	146
320	19	146
299	19	148
277	19	148
390	19	149
394	19	148
261	19	146
248	19	146
327	19	146
189	19	146
233	19	147
323	19	148
310	19	147
226	19	146
263	19	146
269	19	146
274	19	148
221	19	150
253	19	147
337	19	148
391	19	147
275	19	148
396	19	149
230	19	146
206	19	146
410	19	148
378	19	148
376	19	148
259	19	148
360	19	147
197	19	146
215	19	146
402	19	148
305	19	148
190	19	146
210	19	146
357	19	148
256	19	149
201	19	146
249	19	146
279	19	147
415	19	146
353	19	149
276	19	148
179	19	148
362	19	147
286	19	149
290	19	149
216	19	146
262	19	146
297	19	149
252	19	147
311	19	146
382	19	148
377	19	148
225	19	146
213	19	146
244	19	147
195	19	146
414	19	148
1737	20	363
1647	20	1283
2029	20	388
2038	20	373
1697	20	248
1360	20	293
2256	20	816
2470	20	906
1915	20	625
2251	20	293
1642	20	297
2120	20	385
1555	20	281
2308	20	388
2329	20	281
1370	20	291
2268	20	854
1506	20	414
2257	20	818
2424	20	293
2254	20	293
1425	20	399
1671	20	1263
1562	20	1238
2419	20	984
1918	20	397
1428	20	399
2356	20	277
1795	20	353
1780	20	388
1462	20	786
1968	20	362
1841	20	181
1348	20	613
2442	20	355
1747	20	363
1351	20	1090
1562	20	281
1344	20	743
2234	20	394
2447	20	299
2402	20	183
1352	20	266
2518	20	1029
2209	20	385
1646	20	322
2524	20	408
1934	20	361
1745	20	1262
2301	20	388
1791	20	371
2129	20	575
1342	20	388
1566	20	356
1366	20	1102
1735	20	397
1828	20	371
2339	20	259
2199	20	378
2095	20	385
1398	20	233
2050	20	1251
1616	20	414
2098	20	568
1319	20	277
1996	20	574
2043	20	388
1448	20	293
1772	20	373
2280	20	258
1438	20	281
1553	20	293
1795	20	564
1555	20	1190
2226	20	378
1449	20	289
1933	20	219
2438	20	873
2272	20	364
1360	20	409
1937	20	355
1457	20	938
1377	20	1109
1546	20	356
1595	20	250
1571	20	352
1895	20	248
2436	20	299
2004	20	355
2280	20	257
2466	20	293
1743	20	363
1856	20	587
2347	20	181
1873	20	408
2412	20	264
1954	20	280
1867	20	183
2221	20	385
2519	20	293
2003	20	373
1457	20	1160
2419	20	621
1736	20	388
1521	20	373
1910	20	238
1675	20	336
2096	20	385
1873	20	599
2296	20	858
1796	20	806
1361	20	293
2094	20	385
2058	20	233
2545	20	409
1680	20	1311
1753	20	293
2495	20	182
2326	20	182
1906	20	388
1724	20	1010
2239	20	402
1897	20	498
2284	20	378
1967	20	409
2076	20	378
1456	20	1192
1938	20	378
2456	20	261
2262	20	699
2116	20	347
2544	20	1042
1885	20	373
2438	20	876
2057	20	601
2222	20	772
2261	20	293
2304	20	864
1382	20	378
1573	20	183
1954	20	261
2437	20	281
1487	20	972
2131	20	567
2063	20	388
1787	20	380
1555	20	1025
2294	20	388
1664	20	323
2333	20	1175
2532	20	270
2522	20	281
1979	20	200
1904	20	399
2473	20	291
1522	20	277
2049	20	373
2268	20	385
2421	20	722
1417	20	254
2009	20	408
2265	20	852
2181	20	780
2259	20	808
2049	20	380
2108	20	385
2512	20	906
2104	20	385
2282	20	373
2283	20	355
2471	20	293
1410	20	183
1758	20	391
2490	20	361
1436	20	352
1968	20	754
2358	20	361
2143	20	179
1535	20	329
1963	20	361
1908	20	388
2375	20	920
1749	20	616
2384	20	933
1498	20	1184
1908	20	373
2460	20	299
1732	20	182
2433	20	399
1739	20	668
1557	20	242
1347	20	274
2541	20	276
2111	20	357
2527	20	1035
1749	20	1251
2131	20	771
1506	20	281
2275	20	385
1804	20	378
1754	20	371
1420	20	1134
1678	20	336
1337	20	1062
