CompoundID,ChemOntID,ClassifiedResults
3684314,CHEMONTID:0000000,Kingdom: Organic compounds
3684314,CHEMONTID:0000002,Superclass: Organoheterocyclic compounds
3684314,CHEMONTID:0001253,Class: Quinolines and derivatives
3684314,CHEMONTID:0002552,Subclass: Quinoline carboxylic acids
3684314,CHEMONTID:0002552,Direct_parent: Quinoline carboxylic acids
3684314,CHEMONTID:0001144,alternative_parents: Fluoroquinolones
3684314,CHEMONTID:0003359,alternative_parents: N-arylpiperazines
3684314,CHEMONTID:0000053,alternative_parents: Aminoquinolines and derivatives
3684314,CHEMONTID:0004403,alternative_parents: Haloquinolines
3684314,CHEMONTID:0001716,alternative_parents: Hydroquinolones
3684314,CHEMONTID:0001715,alternative_parents: Hydroquinolines
3684314,CHEMONTID:0002414,alternative_parents: Pyridinecarboxylic acids
3684314,CHEMONTID:0003901,alternative_parents: Dialkylarylamines
3684314,CHEMONTID:0001031,alternative_parents: Aryl fluorides
3684314,CHEMONTID:0002448,alternative_parents: Benzenoids
3684314,CHEMONTID:0004144,alternative_parents: Heteroaromatic compounds
3684314,CHEMONTID:0001664,alternative_parents: Tertiary carboxylic acid amides
3684314,CHEMONTID:0003922,alternative_parents: Acetamides
3684314,CHEMONTID:0003890,alternative_parents: Vinylogous amides
3684314,CHEMONTID:0004176,alternative_parents: Amino acids
3684314,CHEMONTID:0001205,alternative_parents: Carboxylic acids
3684314,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
3684314,CHEMONTID:0001137,alternative_parents: Monocarboxylic acids and derivatives
3684314,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
3684314,CHEMONTID:0001517,alternative_parents: Organofluorides
3684314,CHEMONTID:0004557,alternative_parents: Organopnictogen compounds
3684314,CHEMONTID:0001831,alternative_parents: Carbonyl compounds
3684314,CHEMONTID:0003940,alternative_parents: Organic oxides
3684314,NotAvailable,mMlecular_framework: Aromatic heteropolycyclic compounds
3684314,NotAvailable,"Substituents: [""Quinoline-3-carboxylic acid"", ""Fluoroquinolone"", ""N-arylpiperazine"", ""Aminoquinoline"", ""Haloquinoline"", ""Dihydroquinolone"", ""Dihydroquinoline"", ""Pyridine carboxylic acid"", ""Pyridine carboxylic acid or derivatives"", ""Tertiary aliphatic/aromatic amine"", ""Dialkylarylamine"", ""Benzenoid"", ""Aryl fluoride"", ""Aryl halide"", ""Pyridine"", ""1,4-diazinane"", ""Piperazine"", ""Vinylogous amide"", ""Acetamide"", ""Tertiary carboxylic acid amide"", ""Heteroaromatic compound"", ""Amino acid or derivatives"", ""Tertiary amine"", ""Carboxamide group"", ""Amino acid"", ""Monocarboxylic acid or derivatives"", ""Carboxylic acid"", ""Carboxylic acid derivative"", ""Azacycle"", ""Organohalogen compound"", ""Organic oxide"", ""Organopnictogen compound"", ""Organic oxygen compound"", ""Hydrocarbon derivative"", ""Organic nitrogen compound"", ""Carbonyl group"", ""Amine"", ""Organofluoride"", ""Organonitrogen compound"", ""Organooxygen compound"", ""Aromatic heteropolycyclic compound""]"
3684314,NotAvailable,External_descriptors: []
3684314,NotAvailable,"Ancestors: [""Acetamides"", ""Amines"", ""Amino acids"", ""Amino acids and derivatives"", ""Amino acids, peptides, and analogues"", ""Aminoquinolines and derivatives"", ""Aryl fluorides"", ""Aryl halides"", ""Azacyclic compounds"", ""Benzenoids"", ""Carbonyl compounds"", ""Carboxylic acid amides"", ""Carboxylic acid derivatives"", ""Carboxylic acids"", ""Carboxylic acids and derivatives"", ""Chemical entities"", ""Dialkylarylamines"", ""Diazinanes"", ""Fluoroquinolones"", ""Haloquinolines"", ""Heteroaromatic compounds"", ""Hydrocarbon derivatives"", ""Hydroquinolines"", ""Hydroquinolones"", ""Monocarboxylic acids and derivatives"", ""N-arylpiperazines"", ""Organic acids and derivatives"", ""Organic compounds"", ""Organic nitrogen compounds"", ""Organic oxides"", ""Organic oxygen compounds"", ""Organofluorides"", ""Organohalogen compounds"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organooxygen compounds"", ""Organopnictogen compounds"", ""Piperazines"", ""Pyridinecarboxylic acids"", ""Pyridinecarboxylic acids and derivatives"", ""Pyridines and derivatives"", ""Quinoline carboxylic acids"", ""Quinolines and derivatives"", ""Quinolones and derivatives"", ""Tertiary alkylarylamines"", ""Tertiary amines"", ""Tertiary carboxylic acid amides"", ""Vinylogous amides""]"
